aglapsvik,69.466667,18.233333,18
aglapsvika,69.466667,18.233333,18
agle,64.283333,12.516667,10
agnefest,58.133333,7.05,19
agnes,59.016667,10.033333,20
agotnes,60.406111,5.018889,7
agskardet,66.716667,13.466667,9
agskaret,66.716667,13.466667,9
aisaroaivve,70.283333,24.166667,5
akenes,68.966667,15.45,9
akeneset,68.7,17.488889,18
aker,60.55,8.266667,4
akerfjord,70.05,20.5,18
akerjardet,69.916667,21.333333,18
akeroen,66.15,12.55,9
akervik,65.716667,13.95,9
akervika,65.716667,13.95,9
akerviken,65.716667,13.95,9
akkarfjord,70.783333,23.45,5
akkarjorda,69.916667,21.333333,18
akkarsjorda,69.916667,21.333333,18
akkarvik,70.066667,20.5,18
akkerfjord,70.783333,23.45,5
akkerfjorden,70.783333,23.45,5
akkervik,70.066667,20.5,18
akland,58.733333,9.05,2
aklangberget,60.1,12.116667,6
akra,59.783333,6.1,7
akrahamn,59.266667,5.183333,14
akre,61.716667,11.2,6
akrehamn,59.266667,5.183333,14
akrehavn,59.266667,5.183333,14
aksaet,63.5,8.966667,16
akse,61.166667,5.35,15
akset,63.5,8.966667,16
aksnes,60.333333,6.216667,7
akvag,58.668056,9.184167,2
akvik,63.333333,8.466667,8
al,60.633333,8.566667,4
ala,61.466667,5.416667,15
albu,62.616667,9.5,16
alden,61.316667,4.766667,15
aldra,66.4,13.1,9
alefjaer,58.233333,8.033333,19
alen,61.466667,5.416667,15
alesund,62.466667,6.15,8
alfarnes,62.666667,7.516667,8
alfheim,61.5,11.033333,6
alfoten,61.833333,5.666667,15
algard,58.766667,5.85,14
algeroy,60.357778,4.959167,7
algrem,60.15,11.25,1
algroy,60.357778,4.959167,7
alhusstranda,64.533333,11.533333,10
alhusstranden,64.533333,11.533333,10
alleen,58.133333,7.066667,19
allmenningen,60.7,6.833333,7
alloten,61.833333,5.666667,15
allstad,68.266667,13.95,9
alm,60.616667,10.733333,11
almaas,63.683333,10.583333,10
almas,63.683333,10.583333,10
almberg,63.05,9.133333,8
almenningen,59.916667,11.983333,6
almlia,66.0,13.416667,9
almlien,66.0,13.416667,9
almo,63.2,8.433333,8
almus,61.116667,11.3,6
alnes,62.483333,5.966667,8
alo,58.05,7.7,19
alsaaker,60.383333,6.5,7
alsaker,60.383333,6.5,7
alset,60.9,10.316667,11
alsgaarden,65.766667,13.316667,9
alsgard,65.766667,13.316667,9
alsos,67.516667,14.816667,9
alstad,63.383333,8.7,8
alstahaug,65.9,12.433333,9
alsvaag,68.9,15.283333,9
alsvag,68.9,15.283333,9
alsviga,59.100556,5.935,14
alsvik,67.183333,14.283333,9
alsvik i ryfylke,59.100556,5.935,14
alsvika,59.100556,5.935,14
alta,69.966667,23.241667,5
alteidet,70.033333,22.083333,18
alteren,66.3,13.95,9
altevik,68.933333,16.666667,18
altvika,68.933333,16.666667,18
alvaern,59.819444,10.620556,1
alvdal,62.116667,10.65,6
alveim,60.601111,4.805556,7
alveren,59.819444,10.620556,1
alverstraum,60.579167,5.215556,7
alverstraumen,60.579167,5.215556,7
alvestad,62.616667,6.4,8
alvheim,61.5,11.033333,6
alvik,60.416667,6.366667,7
alvnes,67.283333,15.05,9
alvoen,60.353611,5.191389,7
alvoy,60.353611,5.191389,7
amdal,59.1,5.95,14
amdals verk,59.366667,8.05,17
amelfot,62.016667,5.85,8
amla,61.183333,7.266667,15
amland,58.566667,7.866667,2
amli,58.45,8.333333,2
amnes,66.783333,13.35,9
amosen,59.466667,5.716667,14
amot,59.85,11.666667,1
amot pa modum,59.9,9.9,4
amot-modum,59.9,9.9,4
amovhamn,66.75,13.25,9
amoy,59.033333,5.75,14
amoyhamn,66.75,13.25,9
amsosen,59.466667,5.716667,14
ana-sira,58.3,6.433333,14
anbalsnes,62.566667,7.7,8
andal,62.866667,7.566667,8
andalen,65.583333,12.433333,9
andalsnes,62.566667,7.7,8
andalsvagen,65.583333,12.433333,9
andenes,69.320278,16.142778,9
anderaby,70.083333,29.6,5
andersby,70.083333,29.6,5
andersdalen,69.266667,18.233333,18
anderskog,63.45,8.316667,16
anderskogen,63.45,8.316667,16
andervag,68.916667,17.166667,18
andfiska,66.283333,14.1,9
andfiskaa,66.283333,14.1,9
andfiskaaen,66.283333,14.1,9
andgaard,59.5,9.333333,17
andgard,59.5,9.333333,17
andkilen,67.4,15.7,9
andopen,68.1,13.433333,9
andra,61.566667,11.233333,6
andraa,61.566667,11.233333,6
andselv,69.066667,18.566667,18
andselva,69.066667,18.566667,18
andset,60.6,11.95,6
andsnaes,69.5,18.466667,18
andsnes,70.25,21.283333,5
andvik,60.816667,5.383333,7
andvikgrend,60.833333,5.366667,7
andvord,61.833333,8.55,11
aneby,60.083333,10.866667,1
aneland,58.583333,7.866667,2
anes,65.9,13.45,9
aneset,64.433333,13.466667,10
angelshaug,61.9,5.2,15
angen,64.402222,10.5325,16
angermoen,66.016667,13.45,9
angersnes,66.066667,12.683333,9
angersneset,66.066667,12.683333,9
angstad,68.516667,14.733333,9
angvik,62.895833,8.086667,8
ankenes,68.416667,17.383333,9
ankenesstrand,68.416667,17.383333,9
anndalsvaagen,65.583333,12.433333,9
anneland,60.883333,4.966667,15
annerud,60.183333,11.883333,6
annestad,59.5,9.866667,4
annstad,68.820556,17.199167,18
anntveit,60.479167,5.326111,7
ansnes,70.25,21.283333,5
anstad,68.516667,14.733333,9
ansveet,64.683333,12.733333,10
ansvik,67.45,15.483333,9
ao,63.966667,10.2,16
apalset,62.483333,6.766667,8
apasdal,58.483333,7.616667,2
apasland,58.466667,7.583333,2
apeland,58.883333,9.033333,2
apelset,62.483333,6.766667,8
apenes,59.433333,10.45,20
apildset,61.483333,5.35,15
apnaset,61.5,5.3,15
arabrot,59.433333,5.25,14
arabygdi,59.766667,7.75,17
arak,59.533333,5.816667,14
araksbo,58.916667,7.75,2
aras,60.778056,4.933056,7
arberg,61.3,5.816667,15
arbogen,64.0,10.483333,16
ardal,59.15,6.2,14
ardalstangen,61.233333,7.716667,15
are,59.166667,5.433333,14
areberg,61.3,5.816667,15
arebrot,61.65,5.0,15
arebrotet,61.65,5.0,15
arefjord,60.359722,5.149167,7
areklett,61.483333,5.633333,15
areldseng,69.916667,21.316667,18
arendal,58.460278,8.766667,2
arfor,64.95,11.966667,10
argard,64.266667,11.183333,10
arheim,61.883333,6.716667,15
arhejm,61.883333,6.716667,15
arhogen,64.0,10.483333,16
arholm,61.883333,6.716667,15
arhus,60.733333,6.15,7
arildseng,69.916667,21.316667,18
arland,60.0,5.1,7
arlia,58.35,7.066667,19
arlifoss,59.683333,9.133333,17
armoen,64.866667,12.45,10
arna,60.424722,5.476389,7
arnafjord,61.016667,6.366667,15
arnavik,59.758056,5.750556,7
arneberg,60.566667,12.066667,6
arnefjord,61.016667,6.366667,15
arnes,60.15,11.466667,1
arnes i telemark,59.366667,9.183333,17
arnevik,58.527222,8.913611,2
arneviken,58.527222,8.913611,2
arneviki,59.758056,5.750556,7
arnoy,67.133333,13.966667,9
arnoyhamn,70.066667,20.666667,18
aros,59.703056,10.513611,4
aroy,62.75,7.266667,8
aroybukt,69.65,20.3,18
aroybukta,69.65,20.3,18
aroysund,59.180556,10.455,20
aroysundet,59.180556,10.455,20
arrag,63.35,8.85,8
arsand,65.05,12.2,9
arsby,60.633333,11.05,11
arset,62.7,7.583333,8
arset i veoy,62.7,7.583333,8
arsland,58.583333,5.65,14
arstad,60.766667,11.133333,6
arstein,68.266667,15.016667,9
arum,59.266667,11.116667,13
arvag,63.35,8.85,8
arvik,60.166667,6.116667,7
arviksand,70.2,20.533333,18
as,59.666667,10.8,1
asa,60.533333,11.9,6
asaberg,59.316667,10.45,20
asak,59.983333,11.1,1
asalien,63.116667,10.65,16
asalisaeter,63.116667,10.65,16
asan,64.166667,12.466667,10
asane,60.474444,5.325,7
asaroy,59.416667,6.116667,14
asaunet,65.133333,12.216667,9
asberg,60.416667,8.433333,4
asbo,60.491944,5.139444,7
asbogrend,60.2,9.0,4
asdal,59.083333,9.616667,17
asdol,59.883333,10.3,4
ase,60.583333,5.3,7
asebo,60.569444,5.074722,7
asegg,64.25,10.633333,16
asen,60.2,10.05,4
aseral,58.616667,7.416667,19
aserum,59.166667,10.083333,20
aset,61.066667,11.35,6
asgard,63.35,8.85,8
asgardan,60.716667,8.966667,4
